parms = 1.1,,,,,,
3,0.453275,0.268979,0.088383,0.110339,0.0866059,0.039482
4,0.466916,0.113111,0.0297672,0.029373,0.0166497,0.00789719
,,,,,,
parms = 1.7,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.912821,0.955,0.964222,0.975584,0.580495,0.949219
2,0.969218,0.599846,0.415846,0.505473,0.454171,0.463055
3,0.43719,0.209518,0.0974522,0.114656,0.102835,0.0697531
4,0.489109,0.175167,0.0497938,0.0427865,0.0242972,0.0197346
,,,,,,
parms = 1.7,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,0.942857,1,0.90566
4,1,0.92,1,0.97619,1,0.901639
,,,,,,
parms = 1.7,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.912821,0.955,0.964222,0.975584,0.580495,0.949219
2,0.969218,0.599846,0.415846,0.505473,0.454171,0.463055
3,0.43719,0.209518,0.0974522,0.121605,0.102835,0.077019
4,0.489109,0.190399,0.0497938,0.0438301,0.0242972,0.0218875
,,,,,,
parms = 1.8,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.814815,0.953237,0.960993,0.976578,0.985,0.94734
2,0.974708,0.764817,0.667296,0.58594,0.438784,0.434925
3,0.400116,0.275115,0.171984,0.151805,0.0734704,0.0897261
4,0.582001,0.252071,0.0646143,0.0709962,0.0263942,0.0216962
,,,,,,
parms = 1.8,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,1,1,1,0.780488,1
3,1,0.857143,1,1,1,1
4,0.714286,0.916667,1,0.92,0.963636,1
,,,,,,
parms = 1.8,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.814815,0.953237,0.960993,0.976578,0.985,0.94734
2,0.974708,0.764817,0.667296,0.58594,0.562193,0.434925
3,0.400116,0.320967,0.171984,0.151805,0.0734704,0.0897261
4,0.814801,0.274987,0.0646143,0.0771697,0.0273902,0.0216962
,,,,,,
parms = 1.9,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.920635,0.927807,0.949618,0.822042,0.974508,0.947551
2,0.934461,0.923581,0.820007,0.834319,0.767602,0.555946
3,0.521921,0.471732,0.168098,0.223628,0.115801,0.0841153
4,0.624096,0.203019,0.0686775,0.0755554,0.0346583,0.0256763
,,,,,,
parms = 1.9,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,0.846154,1,1,0.969697,1,1
4,1,0.88,1,1,1,1
,,,,,,
parms = 1.9,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.920635,0.927807,0.949618,0.822042,0.974508,0.947551
2,0.934461,0.923581,0.820007,0.834319,0.767602,0.555946
3,0.616815,0.471732,0.168098,0.230616,0.115801,0.0841153
4,0.624096,0.230703,0.0686775,0.0755554,0.0346583,0.0256763
,,,,,,
parms = 2,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.842553,0.776618,0.939331,0.947307,0.93779,0.975996
2,0.944264,0.988308,0.988556,0.993266,0.980681,0.995746
3,0.472786,0.323877,0.216446,0.199624,0.186195,0.235035
4,0.301936,0.224716,0.118418,0.0789533,0.0435846,0.0598099
,,,,,,
parms = 2,,,,,,
交换步数/规模,5,6,7,8,9,10
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,0.909091,1
4,1,1,0.935484,1,1,1
,,,,,,
parms = 2,,,,,,
交换步数/规模,5,6,7,8,9,10
1,0.842553,0.776618,0.939331,0.947307,0.93779,0.975996
2,0.944264,0.988308,0.988556,0.993266,0.980681,0.995746
3,0.472786,0.323877,0.216446,0.199624,0.204815,0.235035
4,0.301936,0.224716,0.126584,0.0789533,0.0435846,0.0598099
