树宽规模,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
效率比,0.0115423,0.00995881,0.00913308,0.008444,0.00857284,0.00834317,0.00836206,0.00821797,0.00815607,0.00845732,0.00817807,0.00773277,0.00783921,0.00764104,0.0071925,0.00710855,0.00690462,0.00690095,0.00697656,0.0068252,0.00706162,0.00690003,0.00694326,0.00704343,0.00706162,0.00679319
准确率,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124,0.935124
,0.012343069,0.010649721,0.009766705,0.009029819,0.009167597,0.008921993,0.008942194,0.008788107,0.008721913,0.009044063,0.008745439,0.008269246,0.00838307,0.008171152,0.007691493,0.007601719,0.007383641,0.007379716,0.007460572,0.007298711,0.007551533,0.007378733,0.007424962,0.007532081,0.007551533,0.00726448
